"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"1400000US42003320600","Census Tract 3206, Allegheny County, Pennsylvania","991","51","51383","2370","93.9","2.9","52522","2419","2.5","1.5","-","**","0.0","2.2","-","**","0.0","2.2","-","**","0.0","2.2","-","**","0.0","2.2","-","**","3.5","3.2","16513","7064","0.3","0.5","-","**","93.6","3.0","52462","2398","1.8","2.7","-","**","37.3","5.1","52128","6181","35.4","4.9","55817","7281","25.4","3.1","40938","7015","548","58","64722","18374","47.8","7.0","51944","22364","52.2","7.0","75417","10696","70.6","8.7","72240","8166","24.1","8.5","51000","28318","5.3","5.3","-","**","443","62","36705","11001","49.2","11.6","26667","5594","48.1","11.8","26250","5916","1.1","1.8","-","**","50.8","11.6","51719","3691","43.3","11.0","50000","6738","7.4","6.3","-","**","26.7","(X)","(X)","(X)","31.6","(X)","(X)","(X)","20.8","(X)","(X)","(X)",
"1400000US42003320700","Census Tract 3207, Allegheny County, Pennsylvania","677","57","47891","15234","94.8","5.7","48125","15667","2.4","3.8","-","**","0.0","3.3","-","**","2.8","4.0","-","**","0.0","3.3","-","**","0.0","3.3","-","**","0.0","3.3","-","**","3.0","3.3","-","**","91.9","7.2","45625","14649","1.2","1.3","-","**","34.3","6.7","51548","6883","37.7","7.0","52054","19600","26.9","4.1","34138","2882","385","48","55250","24885","31.7","10.0","37857","12635","68.3","10.0","70536","9287","70.1","10.3","72895","7441","18.7","8.7","33667","9823","11.2","8.9","-","**","292","62","34500","15794","54.8","10.2","30577","15568","48.3","9.9","24769","15410","6.5","4.8","-","**","45.2","10.2","48750","21768","31.2","10.1","45313","21499","14.0","10.2","50438","39926","36.0","(X)","(X)","(X)","36.9","(X)","(X)","(X)","29.5","(X)","(X)","(X)",
"1400000US42003401100","Census Tract 4011, Allegheny County, Pennsylvania","1992","144","55154","4265","96.4","4.4","56519","4118","2.7","4.2","-","**","0.0","1.1","-","**","0.9","1.4","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","96.4","4.4","56519","4118","3.4","4.0","-","**","27.8","5.9","69063","31313","40.8","6.1","59020","7198","28.1","5.4","46587","14784","1379","157","56544","5710","34.0","8.8","53568","16386","66.0","8.8","57988","9808","68.7","10.1","66379","7599","20.2","8.5","33750","10259","11.1","5.7","54602","16732","613","181","37029","9605","68.5","14.4","35519","3734","59.1","16.0","33796","5658","9.5","13.9","-","**","31.5","14.4","58972","7678","29.5","14.7","58639","9015","2.0","3.4","-","**","37.5","(X)","(X)","(X)","35.2","(X)","(X)","(X)","42.7","(X)","(X)","(X)",
"1400000US42003401200","Census Tract 4012, Allegheny County, Pennsylvania","1356","117","30556","6127","97.7","1.8","30642","6222","0.7","1.1","-","**","0.6","0.9","-","**","0.4","0.7","-","**","0.0","1.6","-","**","0.5","0.8","-","**","0.0","1.6","-","**","0.5","0.8","-","**","97.7","1.8","30642","6222","2.0","1.7","-","**","23.7","5.2","41156","14201","46.5","6.8","31711","7794","27.9","5.3","19655","4308","740","90","34464","16234","43.1","8.2","-","**","56.9","8.2","53201","10720","59.1","11.1","53567","5275","27.6","10.0","8582","4176","13.4","8.4","30721","6479","616","121","16890","5071","59.7","12.0","14444","4883","58.3","11.7","14653","6044","1.5","2.1","-","**","40.3","12.0","20625","17235","38.8","12.0","19375","16439","1.5","2.3","-","**","24.5","(X)","(X)","(X)","23.5","(X)","(X)","(X)","25.6","(X)","(X)","(X)",
"1400000US42003401300","Census Tract 4013, Allegheny County, Pennsylvania","1068","77","65175","3587","96.9","2.5","65461","3657","0.7","1.2","-","**","0.0","2.1","-","**","0.9","1.4","-","**","0.0","2.1","-","**","0.0","2.1","-","**","1.4","1.7","-","**","0.0","2.1","-","**","96.9","2.5","65461","3657","2.3","1.9","-","**","23.0","4.7","86019","5050","42.6","5.6","69760","8092","32.0","4.0","50217","7692","845","68","66276","4146","29.8","4.1","73088","20004","70.2","4.1","66068","3453","78.3","6.0","70000","9296","18.7","5.8","50652","24817","3.0","2.8","51645","1145","223","67","48417","14004","62.8","19.7","52813","19043","50.2","19.2","45750","23610","12.6","10.7","101389","48095","37.2","19.7","-","**","32.7","19.4","-","**","4.5","7.0","-","**","27.2","(X)","(X)","(X)","27.3","(X)","(X)","(X)","26.9","(X)","(X)","(X)",
"1400000US42003402000","Census Tract 4020, Allegheny County, Pennsylvania","1476","94","40753","3723","93.3","3.6","41331","2601","5.1","3.3","31510","25695","0.0","1.5","-","**","0.3","0.5","-","**","0.0","1.5","-","**","0.0","1.5","-","**","1.3","1.4","10417","2306","0.3","0.6","-","**","93.0","3.6","41263","2611","8.8","4.3","-","**","26.8","6.0","44620","13002","33.1","6.8","57969","16064","31.3","5.7","26776","4150","703","80","56544","7891","46.2","7.7","44671","20025","53.8","7.7","58636","6818","65.7","9.8","60333","5640","26.5","8.9","40694","16858","7.8","4.5","44375","7638","773","114","24671","4392","55.2","11.9","24101","3082","48.0","11.4","22943","3149","7.2","4.9","62500","41935","44.8","11.9","31389","18851","34.7","12.0","18529","9158","10.1","6.4","66600","24972","26.2","(X)","(X)","(X)","22.2","(X)","(X)","(X)","28.6","(X)","(X)","(X)",
"1400000US42003403500","Census Tract 4035, Allegheny County, Pennsylvania","2082","181","33026","7992","90.4","6.6","34145","7656","8.9","6.4","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.7","1.1","-","**","0.5","0.8","-","**","90.0","6.6","34803","7925","2.7","2.5","-","**","35.1","7.1","42813","18001","39.1","8.1","27198","12740","23.2","6.4","32632","11602","1164","120","46056","7780","44.1","10.7","41719","19754","55.9","10.7","51901","8824","59.2","11.3","57109","5944","27.9","11.3","30877","9784","12.9","7.8","43083","4840","918","242","19369","5357","45.9","10.8","14760","6915","44.0","10.8","14487","6167","1.9","3.0","-","**","54.1","10.8","25562","10794","44.9","11.7","26014","10359","9.3","9.4","-","**","33.0","(X)","(X)","(X)","32.7","(X)","(X)","(X)","31.9","(X)","(X)","(X)",
"1400000US42003404000","Census Tract 4040, Allegheny County, Pennsylvania","670","48","48158","7966","99.0","1.0","48092","8002","0.9","0.9","-","**","0.0","3.3","-","**","0.0","3.3","-","**","0.0","3.3","-","**","0.0","3.3","-","**","0.1","0.5","-","**","0.6","0.8","-","**","98.4","1.3","47829","7996","1.2","1.8","-","**","34.3","7.3","60833","23763","43.6","5.7","52857","8711","20.9","4.5","25962","6461","351","35","62344","10790","43.9","6.0","52857","18952","56.1","6.0","70938","7419","73.5","8.6","73000","5732","18.2","7.2","28000","5201","8.3","4.5","57292","13910","319","54","27006","9072","38.2","12.8","24167","5990","36.1","12.1","24896","4064","2.2","3.4","-","**","61.8","12.8","35625","27307","60.8","13.2","34688","28320","0.9","1.3","-","**","34.9","(X)","(X)","(X)","26.8","(X)","(X)","(X)","43.9","(X)","(X)","(X)",
"1400000US42003405000","Census Tract 4050, Allegheny County, Pennsylvania","475","40","56058","8346","98.3","1.5","56058","8415","0.0","4.6","-","**","0.2","0.8","-","**","0.8","1.2","-","**","0.0","4.6","-","**","0.0","4.6","-","**","0.6","0.8","-","**","0.0","4.6","-","**","98.3","1.5","56058","8415","0.6","0.8","-","**","18.1","5.6","59500","7409","52.4","6.5","71875","11762","28.8","4.9","33438","3463","299","34","71964","10245","34.1","6.9","69375","21762","65.9","6.9","72321","11893","89.3","5.6","77188","10352","5.7","3.9","41058","548","5.0","4.6","42083","28439","176","33","28500","5581","51.1","10.8","20833","9576","42.0","9.7","18750","2827","9.1","6.7","113750","107264","48.9","10.8","31818","8115","42.6","10.7","31477","6078","6.3","4.8","50536","32020","32.4","(X)","(X)","(X)","37.8","(X)","(X)","(X)","23.3","(X)","(X)","(X)",
"1400000US42003406000","Census Tract 4060, Allegheny County, Pennsylvania","1009","35","59112","5053","97.3","2.5","59118","7286","1.3","2.0","-","**","0.0","2.2","-","**","0.6","0.9","-","**","0.0","2.2","-","**","0.0","2.2","-","**","0.8","1.2","-","**","0.8","1.2","-","**","97.3","2.5","59118","7286","1.4","1.8","-","**","20.7","4.1","73317","15363","43.4","6.1","71563","18000","34.5","5.1","42794","14454","721","61","71991","6710","29.0","4.6","83750","15333","71.0","4.6","67308","12936","86.1","4.6","75598","6280","9.7","3.9","39500","11780","4.2","2.2","81250","56426","288","57","30000","11528","53.5","14.0","27763","8051","41.3","13.4","23083","4642","12.2","8.6","73750","20783","46.5","14.0","40583","9268","40.6","14.6","34375","14719","5.9","4.5","-","**","28.6","(X)","(X)","(X)","30.5","(X)","(X)","(X)","24.0","(X)","(X)","(X)",
"1400000US42003407001","Census Tract 4070.01, Allegheny County, Pennsylvania","2190","158","53445","5633","100.0","1.0","53445","5633","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","100.0","1.0","53445","5633","1.2","1.3","-","**","28.2","6.0","54589","24649","40.7","5.8","75179","21829","29.9","6.2","37652","9836","1430","122","77411","11305","36.3","6.4","78785","23757","63.7","6.4","76585","14769","82.7","7.3","83854","7265","12.9","6.2","39286","29202","4.4","4.9","-","**","760","197","36156","6017","54.3","13.3","26921","8414","54.3","13.3","26921","8414","0.0","2.9","-","**","45.7","13.3","44083","12913","42.4","13.4","39605","14177","3.3","3.4","-","**","24.1","(X)","(X)","(X)","23.7","(X)","(X)","(X)","23.4","(X)","(X)","(X)",
"1400000US42003407002","Census Tract 4070.02, Allegheny County, Pennsylvania","2733","153","67104","7839","99.8","0.3","67025","7732","0.0","0.8","-","**","0.0","0.8","-","**","0.0","0.8","-","**","0.0","0.8","-","**","0.0","0.8","-","**","0.2","0.3","-","**","0.4","0.7","-","**","99.4","0.7","66851","7568","0.4","0.7","-","**","25.9","3.7","88300","24162","42.2","4.7","76818","25582","31.4","3.5","32391","7445","1865","127","92513","12204","35.5","5.9","89650","17448","64.5","5.9","92689","19776","87.9","4.7","96250","11833","9.2","4.2","53409","41250","2.8","2.6","44236","39410","868","176","33833","10096","52.2","11.1","36046","5803","44.9","11.9","33167","8155","7.3","8.6","-","**","47.8","11.1","24531","20426","43.4","11.4","24031","17271","4.4","4.0","-","**","27.2","(X)","(X)","(X)","25.0","(X)","(X)","(X)","30.6","(X)","(X)","(X)",
"1400000US42003408001","Census Tract 4080.01, Allegheny County, Pennsylvania","2053","116","77684","6460","97.7","2.0","76545","6243","0.0","1.1","-","**","0.0","1.1","-","**","2.3","2.0","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","1.2","1.6","-","**","96.5","2.6","75977","6630","1.3","1.5","-","**","26.3","3.6","117424","36403","36.5","3.6","93182","20996","35.8","3.9","32217","12754","1445","110","92992","16043","39.9","6.2","127656","27686","60.1","6.2","80319","6510","86.0","5.5","106711","20698","8.3","4.0","21875","15864","5.7","3.5","-","**","608","109","22667","8658","69.6","12.5","18750","7083","69.6","12.5","18750","7083","0.0","3.6","-","**","30.4","12.5","-","**","28.0","11.6","-","**","2.5","3.8","-","**","27.8","(X)","(X)","(X)","28.0","(X)","(X)","(X)","27.5","(X)","(X)","(X)",
"1400000US42003408002","Census Tract 4080.02, Allegheny County, Pennsylvania","2265","103","98074","9264","94.2","4.1","96631","8386","2.4","2.5","-","**","0.0","1.0","-","**","1.8","2.0","-","**","0.0","1.0","-","**","1.6","2.6","-","**","0.0","1.0","-","**","3.5","2.5","-","**","92.3","4.1","96992","8055","0.3","0.5","-","**","30.7","4.0","121696","18720","48.4","4.7","99293","14280","20.6","3.5","47955","14027","1742","112","116786","13889","47.8","6.7","129053","10935","52.2","6.7","97589","26134","89.6","5.8","122500","12292","8.3","5.6","62321","44797","2.1","2.1","154375","71746","523","130","43536","10372","55.3","13.1","44750","20187","50.1","14.4","43786","19345","5.2","7.7","-","**","44.7","13.1","34231","20424","39.2","12.7","32788","15383","5.5","5.4","-","**","29.6","(X)","(X)","(X)","25.3","(X)","(X)","(X)","44.0","(X)","(X)","(X)",
"1400000US42003409000","Census Tract 4090, Allegheny County, Pennsylvania","4446","144","131484","18783","94.4","3.4","124176","20851","1.7","2.6","-","**","0.2","0.4","-","**","3.7","2.1","223333","65264","0.0","0.5","-","**","0.0","0.5","-","**","0.0","0.5","-","**","0.0","0.5","-","**","94.4","3.4","124176","20851","0.3","0.5","-","**","32.5","4.7","126953","30827","49.9","4.8","157370","30152","17.3","3.4","60129","22877","3604","151","146770","21712","55.6","4.6","179239","36709","44.4","4.6","126719","36635","93.1","3.0","158176","25794","4.1","2.2","59605","37691","2.8","2.2","117222","34928","842","178","59282","12635","56.2","15.5","66520","13999","51.4","16.1","65169","20895","4.8","5.2","-","**","43.8","15.5","58520","20194","31.5","13.1","-","**","12.4","15.4","-","**","26.1","(X)","(X)","(X)","26.1","(X)","(X)","(X)","26.0","(X)","(X)","(X)",
"1400000US42003410000","Census Tract 4100, Allegheny County, Pennsylvania","497","34","103750","9577","98.8","1.2","104327","8638","0.6","0.8","-","**","0.0","4.4","-","**","0.6","1.0","-","**","0.0","4.4","-","**","0.0","4.4","-","**","0.0","4.4","-","**","0.6","0.9","-","**","98.2","1.5","104038","8826","0.6","0.9","-","**","23.7","4.5","85714","38419","43.7","3.9","135938","40024","32.0","3.9","63750","10711","380","31","111875","11716","38.2","4.5","140417","51085","61.8","4.5","105375","9207","85.8","6.3","114063","16178","8.9","5.7","106667","74780","5.3","3.5","103611","45799","117","26","51375","11552","48.7","11.6","58438","27522","48.7","11.6","58438","27522","0.0","17.4","-","**","51.3","11.6","51000","28666","41.9","11.7","-","**","9.4","4.9","250,000+","***","23.7","(X)","(X)","(X)","23.2","(X)","(X)","(X)","25.6","(X)","(X)","(X)",
"1400000US42003411000","Census Tract 4110, Allegheny County, Pennsylvania","2776","141","114917","15221","90.6","2.0","106692","11231","1.1","1.3","-","**","0.3","0.5","-","**","7.3","1.6","196111","43860","0.0","0.8","-","**","0.0","0.8","-","**","0.8","0.9","-","**","0.0","0.8","-","**","90.6","2.0","106692","11231","0.3","0.6","-","**","25.3","4.1","161458","20562","52.8","4.8","141484","46214","21.7","4.8","48571","16524","2211","104","146782","17235","50.3","6.5","159097","15989","49.7","6.5","119375","38171","89.1","5.8","156215","8031","4.0","2.7","115707","61325","6.9","5.4","54663","11260","565","158","43009","15735","52.4","17.2","39732","22438","50.3","17.7","39196","22159","2.1","3.4","-","**","47.6","17.2","44018","21444","33.5","16.7","-","**","14.2","11.9","105278","83119","26.7","(X)","(X)","(X)","27.2","(X)","(X)","(X)","24.8","(X)","(X)","(X)",
"1400000US42003412001","Census Tract 4120.01, Allegheny County, Pennsylvania","3180","114","115756","13326","87.8","2.8","107292","10336","0.9","1.2","-","**","0.3","0.4","-","**","8.9","1.8","169348","66447","0.0","0.7","-","**","1.0","1.1","-","**","1.2","1.4","-","**","0.7","0.8","-","**","87.6","2.8","107083","10367","0.3","0.5","-","**","29.2","3.9","133158","18091","48.1","3.3","128125","31007","22.4","3.1","63224","10474","2455","109","133487","17795","53.5","3.7","143712","24159","46.5","3.7","109148","15913","94.1","2.9","135063","17475","4.9","2.7","84934","69467","0.9","1.4","-","**","725","133","56392","9425","51.6","12.3","55991","23272","38.6","11.8","-","**","13.0","12.4","-","**","48.4","12.3","60787","20102","45.8","12.3","61667","20177","2.6","3.9","-","**","17.8","(X)","(X)","(X)","16.9","(X)","(X)","(X)","21.0","(X)","(X)","(X)",
"1400000US42003412002","Census Tract 4120.02, Allegheny County, Pennsylvania","1865","64","133884","13066","89.3","3.2","136250","15436","1.7","2.5","-","**","0.0","1.2","-","**","8.4","2.4","134318","43249","0.0","1.2","-","**","0.0","1.2","-","**","0.6","1.1","-","**","1.8","1.3","191136","151940","87.5","3.5","134265","15253","0.0","1.2","-","**","28.7","3.4","142829","53617","46.2","3.8","164000","35994","25.1","3.0","86000","44040","1540","88","149643","37593","53.2","4.5","183516","25112","46.8","4.5","133125","15703","96.7","2.3","164125","35091","1.9","1.7","83188","19533","1.4","1.6","-","**","325","93","61908","19779","50.5","17.4","-","**","44.9","17.1","56250","45305","5.5","4.9","140500","53288","49.5","17.4","62212","17805","44.9","16.9","62115","21292","4.6","5.1","-","**","22.6","(X)","(X)","(X)","20.5","(X)","(X)","(X)","32.6","(X)","(X)","(X)",
"1400000US42003413100","Census Tract 4131, Allegheny County, Pennsylvania","2682","115","104085","14893","83.2","4.8","102172","12773","2.7","2.8","126087","7667","0.4","0.5","-","**","13.5","4.2","129737","61386","0.0","0.8","-","**","0.0","0.8","-","**","0.2","0.4","-","**","0.0","0.8","-","**","83.2","4.8","102172","12773","0.9","0.9","34306","16093","35.8","4.4","125571","36627","44.6","5.3","119673","17379","18.8","3.2","63750","23518","1958","147","127746","6445","50.3","5.3","130432","17893","49.7","5.3","117321","15705","87.2","4.6","127772","7372","6.8","3.4","-","**","6.0","3.5","192893","139133","724","191","41016","18671","60.4","12.2","30613","18262","53.9","12.7","22885","17218","6.5","5.5","-","**","39.6","12.2","65815","36549","34.5","11.8","66630","42135","5.1","4.8","46328","29921","22.2","(X)","(X)","(X)","21.5","(X)","(X)","(X)","24.2","(X)","(X)","(X)",
"1400000US42003413201","Census Tract 4132.01, Allegheny County, Pennsylvania","1551","74","73750","7347","95.9","2.5","75094","7230","0.0","1.4","-","**","0.0","1.4","-","**","2.4","2.4","2,500-","***","0.0","1.4","-","**","0.0","1.4","-","**","1.7","1.6","-","**","1.9","1.7","-","**","94.8","2.8","75047","7281","1.5","2.3","-","**","25.8","3.5","88750","20169","45.4","4.0","97059","12084","27.3","2.9","28125","9271","1076","81","95268","11151","37.5","5.9","98421","10741","62.5","5.9","81429","19997","75.1","7.1","102944","8325","19.9","6.4","63942","18378","5.0","3.4","85455","25892","475","87","25980","3205","79.2","10.1","25446","8335","67.8","12.1","25446","6877","11.4","7.8","-","**","20.8","10.1","27656","8360","19.6","9.9","26806","6867","1.3","1.9","-","**","30.6","(X)","(X)","(X)","30.8","(X)","(X)","(X)","30.3","(X)","(X)","(X)",
"1400000US42003413202","Census Tract 4132.02, Allegheny County, Pennsylvania","1240","41","71000","12378","97.9","1.9","71500","12438","0.0","1.8","-","**","0.0","1.8","-","**","2.1","1.9","48750","43081","0.0","1.8","-","**","0.0","1.8","-","**","0.0","1.8","-","**","1.9","2.0","-","**","96.0","2.7","71350","11801","0.0","1.8","-","**","23.3","4.6","121875","24057","41.3","5.4","84318","19943","35.4","4.4","30347","6162","736","73","104063","17170","41.4","6.5","133068","17044","58.6","6.5","92159","11996","78.1","9.4","114055","5149","20.8","9.3","70795","18596","1.1","1.8","-","**","504","79","35982","7900","63.7","10.5","28750","7803","62.1","11.3","28315","7020","1.6","2.6","-","**","36.3","10.5","56518","23249","33.5","10.2","62788","45032","2.8","4.0","-","**","30.5","(X)","(X)","(X)","34.8","(X)","(X)","(X)","24.2","(X)","(X)","(X)",
"1400000US42003413300","Census Tract 4133, Allegheny County, Pennsylvania","1891","86","76932","5127","93.1","3.5","77114","4684","2.3","2.0","165556","100327","0.3","0.4","-","**","3.9","2.9","-","**","0.0","1.2","-","**","0.4","0.6","-","**","0.0","1.2","-","**","0.9","1.0","-","**","92.6","3.4","76909","4693","0.0","1.2","-","**","27.9","3.5","101333","10357","37.1","3.6","102750","10060","35.0","3.3","34583","7161","1307","91","101134","4295","42.9","4.4","102250","13715","57.1","4.4","95313","16066","88.8","4.3","104929","10065","6.4","3.1","62656","43273","4.9","3.4","31600","6787","584","101","30625","5964","65.2","10.6","27125","6508","62.7","11.0","25250","6444","2.6","3.2","-","**","34.8","10.6","48155","18516","28.9","10.5","35893","23358","5.8","4.4","136250","93444","22.3","(X)","(X)","(X)","22.0","(X)","(X)","(X)","22.9","(X)","(X)","(X)",
"1400000US42003413400","Census Tract 4134, Allegheny County, Pennsylvania","1641","68","88173","13997","95.6","2.5","88269","15476","1.3","1.6","-","**","0.4","0.7","-","**","2.8","1.9","148750","64784","0.0","1.4","-","**","0.0","1.4","-","**","0.0","1.4","-","**","1.2","1.3","-","**","94.4","2.6","90060","15731","1.3","1.8","-","**","18.2","3.3","125556","28816","44.9","4.0","107554","9854","35.6","3.6","52321","5579","1252","70","106719","10766","43.3","3.6","127222","12574","56.7","3.6","91094","15633","90.7","4.1","110658","12854","8.1","3.9","64083","51532","1.2","1.3","-","**","389","74","45368","14928","65.6","10.7","48594","11475","60.2","10.7","46471","16217","5.4","7.5","-","**","34.4","10.7","34231","14758","31.1","10.5","33606","5252","3.3","4.1","-","**","29.5","(X)","(X)","(X)","28.7","(X)","(X)","(X)","32.1","(X)","(X)","(X)",
"1400000US42003413500","Census Tract 4135, Allegheny County, Pennsylvania","2786","138","61416","6424","91.7","4.3","60723","7733","2.7","3.1","-","**","0.0","0.8","-","**","5.0","2.9","86129","5216","0.0","0.8","-","**","0.0","0.8","-","**","0.6","0.9","-","**","0.8","1.3","-","**","91.0","4.4","60392","7948","5.0","3.4","-","**","33.4","4.7","85254","15624","31.9","4.5","87423","14035","29.7","4.8","24460","14122","1345","147","87546","8254","40.2","7.8","119844","34120","59.8","7.8","73056","23688","76.7","9.6","96037","14236","13.0","6.8","46133","22430","10.3","6.6","86838","39764","1441","195","40553","11372","48.0","10.7","27188","14738","40.8","10.7","25268","10930","7.1","4.7","80662","43651","52.0","10.7","46250","13111","40.7","10.4","39453","10136","11.3","6.4","98942","18285","25.2","(X)","(X)","(X)","30.8","(X)","(X)","(X)","19.9","(X)","(X)","(X)",
"1400000US42003414101","Census Tract 4141.01, Allegheny County, Pennsylvania","1989","121","89698","12910","99.1","1.4","88922","12520","0.9","1.4","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","0.0","1.1","-","**","99.1","1.4","88922","12520","0.0","1.1","-","**","22.0","2.6","96289","8448","51.2","3.3","120643","21252","26.8","2.9","59286","18356","1602","119","101944","16560","40.1","5.3","108958","31901","59.9","5.3","99107","25297","87.6","4.9","111484","16223","9.4","4.9","76389","22675","3.1","2.7","48750","26589","387","114","51780","6463","56.3","17.3","50303","10548","52.7","17.8","49605","14503","3.6","5.7","-","**","43.7","17.3","55234","34382","34.1","16.3","52639","42956","9.6","13.0","-","**","24.4","(X)","(X)","(X)","24.7","(X)","(X)","(X)","23.5","(X)","(X)","(X)",
"1400000US42003414102","Census Tract 4141.02, Allegheny County, Pennsylvania","3032","142","84184","10363","92.5","2.9","79974","14834","1.2","1.4","-","**","0.0","0.7","-","**","5.8","2.9","153878","74462","0.5","0.8","-","**","0.0","0.7","-","**","0.0","0.7","-","**","0.8","1.2","-","**","91.7","3.1","81027","14071","1.1","1.0","-","**","23.4","4.0","99940","27857","37.7","4.1","120417","26338","37.8","3.2","36736","10206","2069","152","110354","23852","43.5","5.6","121389","18734","56.5","5.6","94031","22739","87.9","5.0","122083","23099","6.6","3.3","-","**","5.5","3.2","80000","31337","963","188","29955","8453","57.8","9.5","24141","5718","55.1","9.8","23828","5858","2.7","3.1","-","**","42.2","9.5","48879","28874","34.3","9.7","46094","26721","7.9","5.8","98846","72268","23.4","(X)","(X)","(X)","25.5","(X)","(X)","(X)","19.0","(X)","(X)","(X)",
"1400000US42003414200","Census Tract 4142, Allegheny County, Pennsylvania","2202","118","73043","18432","98.9","1.4","73478","18303","0.7","1.1","-","**","0.0","1.0","-","**","0.4","0.7","-","**","0.0","1.0","-","**","0.0","1.0","-","**","0.0","1.0","-","**","1.2","1.9","-","**","97.7","2.7","74946","17208","0.6","1.0","-","**","20.9","4.7","64773","51565","49.9","4.7","93875","26997","28.6","2.7","48319","7285","1596","122","94944","20922","38.8","5.7","101146","30989","61.2","5.7","93589","22104","86.2","6.2","110278","22355","11.2","5.5","33750","30143","2.6","3.0","-","**","606","152","29647","19916","67.7","14.3","28109","3961","64.7","15.0","27917","7934","3.0","4.4","-","**","32.3","14.3","46929","9961","25.6","13.8","46964","15023","6.8","7.4","-","**","25.9","(X)","(X)","(X)","29.4","(X)","(X)","(X)","16.7","(X)","(X)","(X)",
"1400000US42003415001","Census Tract 4150.01, Allegheny County, Pennsylvania","1611","94","87596","8411","96.6","1.7","87382","8368","0.6","0.9","-","**","0.0","1.4","-","**","1.8","1.1","123281","44003","0.0","1.4","-","**","0.0","1.4","-","**","1.0","1.0","73750","61921","2.1","3.4","-","**","94.5","3.7","86807","12461","0.0","1.4","-","**","29.5","4.3","86440","8306","50.0","4.6","120133","23040","20.5","3.4","71313","24368","1347","86","91960","13292","45.7","5.6","91912","42642","54.3","5.6","92125","19824","80.1","6.1","98173","21630","13.1","5.2","37321","25980","6.8","4.3","175509","126054","264","93","61324","18502","48.9","17.0","35139","21431","41.7","15.3","33750","17910","7.2","10.0","-","**","51.1","17.0","72083","42076","51.1","17.0","72083","42076","0.0","8.2","-","**","30.9","(X)","(X)","(X)","30.2","(X)","(X)","(X)","24.6","(X)","(X)","(X)",
